"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description"
"1","1","C1","0.001u","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~",""
"2","1","C2","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~",""
"3","4","D1, D2, D3, D4","1N914","Device:D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","https://akizukidenshi.com/catalog/g/gI-09649/",""
"4","1","D5","LED","Device:LED","LED_THT:LED_D3.0mm","https://akizukidenshi.com/catalog/g/gI-09851/","Vf shoud be from 1.8 V to 4.0 V"
"5","1","IC1","NE555","adsr-rescue:NE555-Timer","Qux_Footprint:IC_Socket_Straight_2x04_Pitch2.54mm","https://akizukidenshi.com/catalog/g/gI-14051/",""
"6","1","J1","AudioJack3_SwitchTR","Connector:AudioJack3_SwitchTR","Qux_Footprint:Audio_Jack_with_Switch_Stereo_3.5mm_PJ324M_on_the_edge","https://www.marutsu.co.jp/pc/i/46705/",""
"7","1","J2","AudioJack3","Connector:AudioJack3","Qux_Footprint:Audio_Jack_Stereo_3.5mm_MJ-352W-o_TRS","https://akizukidenshi.com/catalog/g/gC-08958/",""
"8","1","P1","Conn_Power_USB","Connector_Qux:Conn_Power_USB","Qux_Footprint:Conn_Power_USBmicro_THT","http://akizukidenshi.com/catalog/g/gC-10398/",""
"9","2","P2, P3","Conn_01x02","Connector_Generic:Conn_01x02","Qux_Footprint:pin_socket_for_power","~",""
"10","4","Q1, Q2, Q3, Q5","2SC1815","Transistor_BJT:2SC1815","Qux_Footprint:TO-92_Molded_Narrow","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf",""
"11","1","Q4","2SA1015","Transistor_BJT:2SA1015","Qux_Footprint:TO-92_Molded_Narrow","http://www.datasheetcatalog.org/datasheet/toshiba/905.pdf",""
"12","4","R1, R2, R7, R10","10k","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~",""
"13","4","R3, R4, R6, R8","2.2k","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~",""
"14","1","R5","47k","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~",""
"15","1","R9","4.7k","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~",""
"16","2","R11, R12","1k","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~",""
"17","4","RV1, RV2, RV3, RV4","10kA","Device:R_Potentiometer","Qux_Footprint:Pot_RK09D_Series","https://akizukidenshi.com/catalog/g/gP-14773/",""
"18","1","SW1","SW_Push","Switch:SW_Push","Qux_Footprint:TACT_SWITCH","https://akizukidenshi.com/catalog/g/gP-03648/",""
