"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","6","C1, C2, C3, C4, C5, C6","0.047μ","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"2","2","C7, C8","10uF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"3","8","J1, J2, J3, J4, J5, J6, J7, J8","AudioJack3_SwitchTR","Connector:AudioJack3_SwitchTR","Qux_Footprint:Audio_Jack_Stereo_MJ-354W-SG","~"
"4","4","P1, P2, P3, P4","CONN_01X01","Connector_Generic:Conn_01x01","Socket_Arduino_Uno:Arduino_1pin","~"
"5","2","P5, P9","Digital","Connector_Generic:Conn_01x10","Socket_Arduino_Uno:Socket_Strip_Arduino_1x10","~"
"6","1","P6","Power","Connector_Generic:Conn_01x08","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08","~"
"7","2","P7, P10","Digital","Connector_Generic:Conn_01x08","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08","~"
"8","1","P8","Analog","Connector_Generic:Conn_01x06","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06","~"
"9","2","P13, P14","Conn_01x06","Connector_Generic:Conn_01x06","Qux_Footprint:PinHeader_1x06_P2.54mm_Vertical","~"
"10","10","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10","10k","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
