"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","0.15u","Device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"2","1","IC1","74HC14","osc_sqr-rescue:74HC14-IC_Logic_Qux","Qux_Footprint:IC_Socket_Straight_2x07_Pitch2.54mm_inv","http://akizukidenshi.com/catalog/g/gI-10923/"
"3","1","IC2","NJM2737D","osc_sqr-rescue:NJM2737D-Opamp_Qux","Qux_Footprint:IC_Socket_Straight_2x04_Pitch2.54mm_opamp","http://akizukidenshi.com/catalog/g/gI-08231/"
"4","1","J1","AudioJack_TRS","osc_sqr-rescue:AudioJack_TRS-Connector_Qux","Qux_Footprint:Audio_Jack_Stereo_3.5mm_MJ-352W-o_TRS","http://akizukidenshi.com/catalog/g/gC-08958/"
"5","1","P1","Conn_Power_USB","osc_sqr-rescue:Conn_Power_USB-Connector_Qux","Qux_Footprint:Conn_Power_USBmicro_THT","http://akizukidenshi.com/catalog/g/gC-10398/"
"6","1","P2","pin_socket_1x2","osc_sqr-rescue:pin_socket_1x2-mylibraries","Qux_Footprint:pin_socket_1x2",""
"7","1","R1","220","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"8","1","R2","510k","Device:R","Qux_Footprint:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"9","1","RV1","500k","osc_sqr-rescue:POT","Qux_Footprint:Potentiometer_Trimmer-Suntan-TSR-3386K",""
"10","1","RV2","50k","osc_sqr-rescue:POT","Qux_Footprint:Potentiometer_Trimmer-Suntan-TSR-3386K",""
